time,crank_v,pressure_v,pressure_bar,crank_deg,div_crank,crank_ang,stage,cycle
0.0,0.201504,0.173874,1.7735147999999998,2.991686177667472,0.0,2.991686177667472,0,1
2e-05,8.859102,0.173545,1.7701589999999998,146.15972516016475,143.16803898249728,146.15972516016475,1,1
4e-05,10.699555,0.173874,1.7735147999999998,176.59473113404505,30.435005973880294,176.59473113404505,1,1
6e-05,10.75745,0.173874,1.7735147999999998,177.55212296684806,0.9573918328030118,177.55212296684806,1,1
8e-05,10.714357,0.174203,1.7768705999999999,176.83950726167524,0.7126157051728228,176.83950726167524,1,1
0.0001,0.200188,0.174532,1.7802263999999999,2.969923889871138,173.8695833718041,362.96992388987115,2,1
0.00012,0.200188,0.174532,1.7802263999999999,2.969923889871138,0.0,362.96992388987115,2,1
0.00014,0.200188,0.174203,1.7768705999999999,2.969923889871138,0.0,362.96992388987115,2,1
0.00016,10.594949,0.17486,1.7835719999999997,174.86489384132216,171.89496995145103,534.8648938413221,3,1
0.00018,10.663699,0.17486,1.7835719999999997,176.0017914750592,1.1368976337370498,536.0017914750592,3,1
0.0002,10.650212,0.174203,1.7768705999999999,175.7787610985325,0.2230303765267081,535.7787610985325,3,1
0.00022,0.201175,0.173545,1.7701589999999998,2.9862456057183886,172.79251549281412,722.9862456057184,4,1
0.00024,0.200188,0.174203,1.7768705999999999,2.969923889871138,0.016321715847250395,2.969923889871138,0,2
0.00026,0.200846,0.174532,1.7802263999999999,2.980805033769305,0.010881143898166634,2.980805033769305,0,2
0.00028,10.300541,0.173216,1.7668032,169.9963591714566,167.01555413768727,169.9963591714566,1,2
0.0003,10.634423,0.174203,1.7768705999999999,175.51766325505506,5.521304083598466,175.51766325505506,1,2
0.00032,10.65416,0.174532,1.7802263999999999,175.8440479619215,0.3263847068664347,175.8440479619215,1,2
0.00034,0.201504,0.174532,1.7802263999999999,2.991686177667472,172.85236178425401,362.9916861776675,2,2
0.00036,0.201175,0.174203,1.7768705999999999,2.9862456057183886,0.005440571949083317,362.9862456057184,2,2
0.00038,0.200517,0.174532,1.7802263999999999,2.9753644618202215,0.010881143898167078,362.9753644618202,2,2
0.0004,0.199859,0.174532,1.7802263999999999,2.9644833179220544,0.010881143898167078,362.96448331792203,2,2
0.00042,0.200188,0.174203,1.7768705999999999,2.969923889871138,0.005440571949083761,362.96992388987115,2,2
0.00044,0.199859,0.174203,1.7768705999999999,2.9644833179220544,0.005440571949083761,362.96448331792203,2,2
0.00046,0.199859,0.174203,1.7768705999999999,2.9644833179220544,0.0,362.96448331792203,2,2
0.00048,10.506462,0.174532,1.7802263999999999,173.40161150071867,170.4371281827966,533.4016115007187,3,2
0.0005,10.602186,0.174203,1.7768705999999999,174.98456988750914,1.582958386790466,534.9845698875091,3,2
0.00052,10.604817,0.174203,1.7768705999999999,175.02807792640897,0.043508038899830126,535.028077926409,3,2
0.00054,10.612054,0.173874,1.7735147999999998,175.14775397259595,0.11967604618698147,535.147753972596,3,2
0.00056,10.616331,0.174203,1.7768705999999999,175.21848140793404,0.07072743533808534,535.2184814079341,3,2
0.00058,10.617975,0.173874,1.7735147999999998,175.24566773098658,0.027186323052546868,535.2456677309866,3,2
0.0006,0.200846,0.174203,1.7768705999999999,2.980805033769305,172.26486269721727,722.9808050337693,4,2
0.00062,0.200517,0.173216,1.7668032,2.9753644618202215,0.005440571949083317,2.9753644618202215,0,3
0.00064,0.199859,0.175189,1.7869278,2.9644833179220544,0.010881143898167078,2.9644833179220544,0,3
0.00066,10.360738,0.174203,1.7768705999999999,170.9918184712103,168.02733515328825,170.9918184712103,1,3
0.00068,10.573567,0.174203,1.7768705999999999,174.5113062747103,3.519487803499999,174.5113062747103,1,3
0.0007,10.586396,0.173545,1.7701589999999998,174.72345550733885,0.21214923262854768,174.72345550733885,1,3
0.00072,0.201833,0.173545,1.7701589999999998,2.9971267496165557,171.72632875772229,362.99712674961654,2,3
0.00074,0.200188,0.173216,1.7668032,2.969923889871138,0.027202859745417474,362.96992388987115,2,3
0.00076,0.199859,0.173874,1.7735147999999998,2.9644833179220544,0.005440571949083761,362.96448331792203,2,3
0.00078,9.597253,0.173545,1.7701589999999998,158.3663015273014,155.40181820937934,518.3663015273014,3,3
0.0008,10.546265,0.17486,1.7835719999999997,174.05982148640064,15.693519959099234,534.0598214864007,3,3
0.00082,10.570607,0.173545,1.7701589999999998,174.4623576638614,0.4025361774607745,534.4623576638614,3,3
0.00084,10.578173,0.174532,1.7802263999999999,174.58747428199746,0.12511661813604746,534.5874742819974,3,3
0.00086,0.199859,0.17486,1.7835719999999997,2.9644833179220544,171.6229909640754,722.964483317922,4,3
0.00088,0.19953,0.17486,1.7835719999999997,2.959042745972971,0.005440571949083317,2.959042745972971,0,4
0.0009,0.199859,0.174203,1.7768705999999999,2.9644833179220544,0.005440571949083317,2.9644833179220544,0,4
0.00092,10.555475,0.174532,1.7802263999999999,174.21212442758926,171.2476411096672,174.21212442758926,1,4
0.00094,10.665015,0.175189,1.7869278,176.02355376285556,1.811429335266297,176.02355376285556,1,4
0.00096,10.663699,0.173874,1.7735147999999998,176.0017914750592,0.021762287796349256,176.0017914750592,1,4
0.00098,0.201504,0.17486,1.7835719999999997,2.991686177667472,173.01010529739173,362.9916861776675,2,4
0.001,0.198544,0.173874,1.7735147999999998,2.942737566818575,0.04894861084889701,362.94273756681855,2,4
0.00102,0.200188,0.174532,1.7802263999999999,2.969923889871138,0.0271863230525633,362.96992388987115,2,4
