,SmallMass,,
t,x,y,
0.000,-1.889E-2,-4.707E-2
0.033,-1.888E-2,-4.710E-2
0.067,-1.889E-2,-4.710E-2
0.100,-1.890E-2,-4.707E-2
0.133,-1.891E-2,-4.707E-2
0.167,-1.893E-2,-4.703E-2
0.200,-1.837E-2,-4.609E-2
0.233,-1.429E-2,-3.873E-2
0.267,-1.024E-2,-2.610E-2
0.300,-6.627E-3,-9.940E-3
0.333,-5.892E-3,5.134E-3
0.367,-6.570E-3,1.839E-2
0.400,-7.150E-3,2.692E-2
0.433,-7.644E-3,3.002E-2
0.467,-7.073E-3,2.580E-2
0.500,-6.300E-3,1.686E-2
0.533,-6.020E-3,4.228E-3
0.567,-7.191E-3,-1.214E-2
0.600,-1.021E-2,-2.608E-2
0.633,-1.314E-2,-3.524E-2
0.667,-1.541E-2,-4.112E-2
0.700,-1.368E-2,-3.708E-2
0.733,-1.079E-2,-2.845E-2
0.767,-7.789E-3,-1.675E-2
0.800,-6.004E-3,-1.582E-3
0.833,-5.927E-3,1.137E-2
0.867,-6.423E-3,2.069E-2
0.900,-7.058E-3,2.526E-2
0.933,-6.678E-3,2.374E-2
0.967,-6.191E-3,1.721E-2
1.000,-5.921E-3,6.179E-3
1.033,-6.576E-3,-7.283E-3
1.067,-8.472E-3,-2.044E-2
1.100,-1.132E-2,-3.063E-2
1.133,-1.365E-2,-3.719E-2
1.167,-1.371E-2,-3.697E-2
1.200,-1.133E-2,-3.027E-2
1.233,-8.178E-3,-1.898E-2
1.267,-6.281E-3,-6.554E-3
1.300,-5.782E-3,5.301E-3
1.333,-6.181E-3,1.499E-2
1.367,-6.454E-3,2.057E-2
1.400,-6.377E-3,2.080E-2
1.433,-6.123E-3,1.525E-2
1.467,-5.913E-3,5.806E-3
1.500,-6.304E-3,-5.761E-3
1.533,-7.793E-3,-1.795E-2
1.567,-1.139E-2,-3.068E-2
1.600,-1.427E-2,-3.815E-2
1.633,-1.428E-2,-3.850E-2
1.667,-1.255E-2,-3.383E-2
1.700,-9.034E-3,-2.347E-2
1.733,-6.648E-3,-1.143E-2
1.767,-5.728E-3,6.033E-4
1.800,-5.588E-3,9.975E-3
1.833,-6.202E-3,1.620E-2
1.867,-6.000E-3,1.755E-2
1.900,-5.816E-3,1.370E-2
1.933,-5.744E-3,6.373E-3
1.967,-6.083E-3,-4.365E-3
2.000,-7.273E-3,-1.562E-2
2.033,-9.612E-3,-2.597E-2
2.067,-1.189E-2,-3.345E-2
2.100,-1.253E-2,-3.503E-2
2.133,-1.197E-2,-3.238E-2
2.167,-8.978E-3,-2.350E-2
2.200,-6.677E-3,-1.245E-2
2.233,-5.951E-3,-2.570E-3
2.267,-5.640E-3,6.996E-3
2.300,-5.878E-3,1.298E-2
2.333,-5.951E-3,1.477E-2
2.367,-5.876E-3,1.162E-2
2.400,-5.782E-3,5.074E-3
2.433,-6.067E-3,-4.416E-3
2.467,-7.255E-3,-1.534E-2
2.500,-9.614E-3,-2.540E-2
2.533,-1.187E-2,-3.288E-2
2.567,-1.259E-2,-3.466E-2
2.600,-1.142E-2,-3.126E-2
2.633,-9.319E-3,-2.448E-2
2.667,-6.901E-3,-1.407E-2
2.700,-6.000E-3,-4.696E-3
2.733,-5.715E-3,4.211E-3
2.767,-5.687E-3,9.884E-3
2.800,-5.665E-3,1.172E-2
2.833,-5.658E-3,9.384E-3
2.867,-5.680E-3,3.254E-3
2.900,-6.094E-3,-5.010E-3
2.933,-7.254E-3,-1.502E-2
2.967,-9.301E-3,-2.452E-2
3.000,-1.158E-2,-3.173E-2
3.033,-1.230E-2,-3.353E-2
3.067,-1.133E-2,-3.084E-2
3.100,-9.015E-3,-2.341E-2
3.133,-7.237E-3,-1.470E-2
3.167,-6.005E-3,-5.368E-3
3.200,-5.676E-3,2.620E-3
3.233,-5.678E-3,7.669E-3
3.267,-5.626E-3,9.192E-3
3.300,-5.660E-3,6.817E-3
3.333,-5.716E-3,1.195E-3
3.367,-6.304E-3,-7.310E-3
3.400,-7.237E-3,-1.605E-2
3.433,-9.272E-3,-2.464E-2
3.467,-1.099E-2,-3.062E-2
3.500,-1.161E-2,-3.224E-2
3.533,-1.046E-2,-2.889E-2
3.567,-8.696E-3,-2.230E-2
3.600,-6.912E-3,-1.343E-2
3.633,-6.018E-3,-5.101E-3
3.667,-5.687E-3,2.088E-3
3.700,-5.671E-3,6.394E-3
3.733,-5.706E-3,7.391E-3
3.767,-5.639E-3,4.610E-3
3.800,-5.752E-3,-8.217E-4
3.833,-6.329E-3,-8.868E-3
3.867,-7.533E-3,-1.741E-2
3.900,-9.323E-3,-2.480E-2
3.933,-1.077E-2,-2.966E-2
3.967,-1.106E-2,-3.019E-2
4.000,-9.858E-3,-2.663E-2
4.033,-8.157E-3,-1.983E-2
4.067,-6.650E-3,-1.164E-2
4.100,-5.996E-3,-4.190E-3
4.133,-5.627E-3,2.005E-3
4.167,-5.672E-3,5.242E-3
4.200,-5.650E-3,5.295E-3
4.233,-5.688E-3,2.023E-3
4.267,-6.010E-3,-3.871E-3
4.300,-6.680E-3,-1.136E-2
4.333,-7.903E-3,-1.905E-2
4.367,-9.582E-3,-2.578E-2
4.400,-1.069E-2,-2.951E-2
4.433,-1.044E-2,-2.859E-2
4.467,-9.323E-3,-2.450E-2
4.500,-7.618E-3,-1.723E-2
4.533,-6.437E-3,-9.879E-3
4.567,-5.978E-3,-3.349E-3
4.600,-5.690E-3,1.509E-3
4.633,-5.633E-3,3.713E-3
4.667,-5.668E-3,2.950E-3
